RUN	pokemonapi.PokemonApiTest	pokemonapitest	1720479811869	 	3.11.3
USER	Pokemon API Test	START	1720479814467
USER	Pokemon API Test	START	1720479814467
REQUEST		Get Pikachu	1720479814326	1720479814461	OK	 
USER	Pokemon API Test	END	1720479814470
USER	Pokemon API Test	START	1720479814470
USER	Pokemon API Test	START	1720479814472
REQUEST		Get Pikachu	1720479814391	1720479814485	OK	 
USER	Pokemon API Test	END	1720479814486
USER	Pokemon API Test	START	1720479814486
REQUEST		Get Pikachu	1720479814389	1720479814511	OK	 
USER	Pokemon API Test	END	1720479814519
USER	Pokemon API Test	START	1720479814519
REQUEST		Get Pikachu	1720479814380	1720479814540	OK	 
USER	Pokemon API Test	END	1720479814551
REQUEST		Get Pikachu	1720479814404	1720479814552	OK	 
USER	Pokemon API Test	END	1720479814557
USER	Pokemon API Test	START	1720479814557
USER	Pokemon API Test	START	1720479814558
REQUEST		Get Pikachu	1720479814467	1720479814554	OK	 
USER	Pokemon API Test	END	1720479814558
USER	Pokemon API Test	START	1720479814558
REQUEST		Get Pikachu	1720479814392	1720479814565	OK	 
USER	Pokemon API Test	END	1720479814571
USER	Pokemon API Test	START	1720479814571
REQUEST		Get Pikachu	1720479814467	1720479814600	OK	 
USER	Pokemon API Test	END	1720479814605
REQUEST		Get Pikachu	1720479814416	1720479814601	OK	 
USER	Pokemon API Test	START	1720479814606
USER	Pokemon API Test	END	1720479814606
USER	Pokemon API Test	START	1720479814606
REQUEST		Get Pikachu	1720479814472	1720479814613	OK	 
USER	Pokemon API Test	END	1720479814620
USER	Pokemon API Test	START	1720479814620
REQUEST		Get Pikachu	1720479814470	1720479814625	OK	 
USER	Pokemon API Test	END	1720479814630
USER	Pokemon API Test	START	1720479814630
REQUEST		Get Pikachu	1720479814559	1720479814650	OK	 
USER	Pokemon API Test	END	1720479814651
USER	Pokemon API Test	START	1720479814652
REQUEST		Get Pikachu	1720479814488	1720479814653	OK	 
USER	Pokemon API Test	END	1720479814658
USER	Pokemon API Test	START	1720479814658
REQUEST		Get Pikachu	1720479814606	1720479814687	OK	 
USER	Pokemon API Test	END	1720479814689
REQUEST		Get Pikachu	1720479814520	1720479814689	OK	 
USER	Pokemon API Test	END	1720479814693
USER	Pokemon API Test	START	1720479814693
USER	Pokemon API Test	START	1720479814693
REQUEST		Get Pikachu	1720479814557	1720479814712	OK	 
USER	Pokemon API Test	END	1720479814716
USER	Pokemon API Test	START	1720479814717
REQUEST		Get Pikachu	1720479814572	1720479814727	OK	 
USER	Pokemon API Test	END	1720479814733
USER	Pokemon API Test	START	1720479814733
REQUEST		Get Pikachu	1720479814559	1720479814730	OK	 
USER	Pokemon API Test	END	1720479814735
USER	Pokemon API Test	START	1720479814735
REQUEST		Get Pikachu	1720479814620	1720479814761	OK	 
USER	Pokemon API Test	END	1720479814766
USER	Pokemon API Test	START	1720479814767
REQUEST		Get Pikachu	1720479814694	1720479814770	OK	 
USER	Pokemon API Test	END	1720479814771
USER	Pokemon API Test	START	1720479814771
REQUEST		Get Pikachu	1720479814606	1720479814765	OK	 
USER	Pokemon API Test	END	1720479814773
USER	Pokemon API Test	START	1720479814777
REQUEST		Get Pikachu	1720479814630	1720479814773	OK	 
USER	Pokemon API Test	END	1720479814779
USER	Pokemon API Test	START	1720479814779
REQUEST		Get Pikachu	1720479814658	1720479814809	OK	 
REQUEST		Get Pikachu	1720479814652	1720479814810	OK	 
USER	Pokemon API Test	END	1720479814814
USER	Pokemon API Test	END	1720479814815
USER	Pokemon API Test	START	1720479814815
USER	Pokemon API Test	START	1720479814818
REQUEST		Get Pikachu	1720479814694	1720479814851	OK	 
USER	Pokemon API Test	END	1720479814854
USER	Pokemon API Test	START	1720479814854
REQUEST		Get Pikachu	1720479814717	1720479814869	OK	 
USER	Pokemon API Test	END	1720479814877
REQUEST		Get Pikachu	1720479814767	1720479814876	OK	 
REQUEST		Get Pikachu	1720479814733	1720479814859	OK	 
USER	Pokemon API Test	END	1720479814877
USER	Pokemon API Test	START	1720479814878
USER	Pokemon API Test	START	1720479814878
USER	Pokemon API Test	END	1720479814878
USER	Pokemon API Test	START	1720479814879
REQUEST		Get Pikachu	1720479814735	1720479814889	OK	 
USER	Pokemon API Test	END	1720479814892
USER	Pokemon API Test	START	1720479814893
REQUEST		Get Pikachu	1720479814819	1720479814900	OK	 
USER	Pokemon API Test	END	1720479814901
USER	Pokemon API Test	START	1720479814902
REQUEST		Get Pikachu	1720479814771	1720479814915	OK	 
USER	Pokemon API Test	END	1720479814919
USER	Pokemon API Test	START	1720479814919
REQUEST		Get Pikachu	1720479814779	1720479814924	OK	 
USER	Pokemon API Test	END	1720479814931
USER	Pokemon API Test	START	1720479814931
REQUEST		Get Pikachu	1720479814815	1720479814956	OK	 
REQUEST		Get Pikachu	1720479814777	1720479814961	OK	 
USER	Pokemon API Test	END	1720479814966
USER	Pokemon API Test	END	1720479814966
USER	Pokemon API Test	START	1720479814966
USER	Pokemon API Test	START	1720479814966
REQUEST		Get Pikachu	1720479814893	1720479814986	OK	 
USER	Pokemon API Test	END	1720479814987
USER	Pokemon API Test	START	1720479814988
REQUEST		Get Pikachu	1720479814855	1720479815015	OK	 
USER	Pokemon API Test	END	1720479815020
USER	Pokemon API Test	START	1720479815020
REQUEST		Get Pikachu	1720479814878	1720479815031	OK	 
USER	Pokemon API Test	END	1720479815036
USER	Pokemon API Test	START	1720479815036
REQUEST		Get Pikachu	1720479814879	1720479815036	OK	 
USER	Pokemon API Test	END	1720479815040
USER	Pokemon API Test	START	1720479815040
REQUEST		Get Pikachu	1720479814879	1720479815044	OK	 
USER	Pokemon API Test	END	1720479815049
USER	Pokemon API Test	START	1720479815049
REQUEST		Get Pikachu	1720479814967	1720479815054	OK	 
USER	Pokemon API Test	END	1720479815057
USER	Pokemon API Test	START	1720479815057
REQUEST		Get Pikachu	1720479814902	1720479815065	OK	 
USER	Pokemon API Test	END	1720479815071
USER	Pokemon API Test	START	1720479815072
REQUEST		Get Pikachu	1720479814931	1720479815068	OK	 
USER	Pokemon API Test	END	1720479815074
USER	Pokemon API Test	START	1720479815074
REQUEST		Get Pikachu	1720479814920	1720479815083	OK	 
USER	Pokemon API Test	END	1720479815088
USER	Pokemon API Test	START	1720479815088
REQUEST		Get Pikachu	1720479814988	1720479815119	OK	 
USER	Pokemon API Test	END	1720479815123
USER	Pokemon API Test	START	1720479815123
REQUEST		Get Pikachu	1720479814967	1720479815128	OK	 
USER	Pokemon API Test	END	1720479815136
USER	Pokemon API Test	START	1720479815136
REQUEST		Get Pikachu	1720479815050	1720479815137	OK	 
USER	Pokemon API Test	END	1720479815138
USER	Pokemon API Test	START	1720479815138
REQUEST		Get Pikachu	1720479815036	1720479815186	OK	 
USER	Pokemon API Test	END	1720479815193
USER	Pokemon API Test	START	1720479815193
REQUEST		Get Pikachu	1720479815020	1720479815196	OK	 
USER	Pokemon API Test	END	1720479815200
USER	Pokemon API Test	START	1720479815201
REQUEST		Get Pikachu	1720479815040	1720479815206	OK	 
USER	Pokemon API Test	END	1720479815209
USER	Pokemon API Test	START	1720479815209
REQUEST		Get Pikachu	1720479815124	1720479815213	OK	 
USER	Pokemon API Test	END	1720479815215
REQUEST		Get Pikachu	1720479815074	1720479815217	OK	 
REQUEST		Get Pikachu	1720479815057	1720479815219	OK	 
USER	Pokemon API Test	END	1720479815222
USER	Pokemon API Test	START	1720479815222
USER	Pokemon API Test	END	1720479815222
USER	Pokemon API Test	START	1720479815222
USER	Pokemon API Test	START	1720479815223
REQUEST		Get Pikachu	1720479815088	1720479815252	OK	 
USER	Pokemon API Test	END	1720479815256
REQUEST		Get Pikachu	1720479815137	1720479815253	OK	 
USER	Pokemon API Test	END	1720479815257
USER	Pokemon API Test	START	1720479815257
USER	Pokemon API Test	START	1720479815258
REQUEST		Get Pikachu	1720479815072	1720479815260	OK	 
USER	Pokemon API Test	END	1720479815265
USER	Pokemon API Test	START	1720479815265
REQUEST		Get Pikachu	1720479815138	1720479815288	OK	 
USER	Pokemon API Test	END	1720479815293
USER	Pokemon API Test	START	1720479815293
REQUEST		Get Pikachu	1720479815209	1720479815305	OK	 
USER	Pokemon API Test	END	1720479815306
USER	Pokemon API Test	START	1720479815306
REQUEST		Get Pikachu	1720479815194	1720479815338	OK	 
USER	Pokemon API Test	END	1720479815341
USER	Pokemon API Test	START	1720479815341
REQUEST		Get Pikachu	1720479815258	1720479815343	OK	 
USER	Pokemon API Test	END	1720479815344
USER	Pokemon API Test	START	1720479815344
REQUEST		Get Pikachu	1720479815201	1720479815347	OK	 
USER	Pokemon API Test	END	1720479815351
USER	Pokemon API Test	START	1720479815351
REQUEST		Get Pikachu	1720479815222	1720479815367	OK	 
USER	Pokemon API Test	END	1720479815373
USER	Pokemon API Test	START	1720479815373
REQUEST		Get Pikachu	1720479815223	1720479815373	OK	 
USER	Pokemon API Test	END	1720479815377
USER	Pokemon API Test	START	1720479815378
REQUEST		Get Pikachu	1720479815222	1720479815379	OK	 
USER	Pokemon API Test	END	1720479815383
USER	Pokemon API Test	START	1720479815383
REQUEST		Get Pikachu	1720479815344	1720479815429	OK	 
REQUEST		Get Pikachu	1720479815265	1720479815427	OK	 
USER	Pokemon API Test	END	1720479815431
USER	Pokemon API Test	START	1720479815431
USER	Pokemon API Test	END	1720479815431
USER	Pokemon API Test	START	1720479815431
REQUEST		Get Pikachu	1720479815258	1720479815445	OK	 
USER	Pokemon API Test	END	1720479815450
USER	Pokemon API Test	START	1720479815450
REQUEST		Get Pikachu	1720479815293	1720479815465	OK	 
USER	Pokemon API Test	END	1720479815469
USER	Pokemon API Test	START	1720479815470
REQUEST		Get Pikachu	1720479815306	1720479815474	OK	 
USER	Pokemon API Test	END	1720479815480
USER	Pokemon API Test	START	1720479815480
REQUEST		Get Pikachu	1720479815341	1720479815482	OK	 
USER	Pokemon API Test	END	1720479815486
USER	Pokemon API Test	START	1720479815486
REQUEST		Get Pikachu	1720479815352	1720479815501	OK	 
USER	Pokemon API Test	END	1720479815506
USER	Pokemon API Test	START	1720479815507
REQUEST		Get Pikachu	1720479815431	1720479815520	OK	 
USER	Pokemon API Test	END	1720479815522
USER	Pokemon API Test	START	1720479815522
REQUEST		Get Pikachu	1720479815373	1720479815521	OK	 
USER	Pokemon API Test	END	1720479815529
REQUEST		Get Pikachu	1720479815383	1720479815526	OK	 
USER	Pokemon API Test	END	1720479815530
USER	Pokemon API Test	START	1720479815530
REQUEST		Get Pikachu	1720479815378	1720479815527	OK	 
USER	Pokemon API Test	END	1720479815531
USER	Pokemon API Test	START	1720479815531
USER	Pokemon API Test	START	1720479815531
REQUEST		Get Pikachu	1720479815487	1720479815580	OK	 
USER	Pokemon API Test	END	1720479815587
USER	Pokemon API Test	START	1720479815587
REQUEST		Get Pikachu	1720479815432	1720479815575	OK	 
USER	Pokemon API Test	END	1720479815589
USER	Pokemon API Test	START	1720479815589
REQUEST		Get Pikachu	1720479815532	1720479815622	OK	 
USER	Pokemon API Test	END	1720479815629
REQUEST		Get Pikachu	1720479815450	1720479815624	OK	 
USER	Pokemon API Test	END	1720479815630
USER	Pokemon API Test	START	1720479815631
USER	Pokemon API Test	START	1720479815631
REQUEST		Get Pikachu	1720479815470	1720479815637	OK	 
USER	Pokemon API Test	END	1720479815642
USER	Pokemon API Test	START	1720479815642
REQUEST		Get Pikachu	1720479815480	1720479815643	OK	 
USER	Pokemon API Test	END	1720479815648
USER	Pokemon API Test	START	1720479815648
REQUEST		Get Pikachu	1720479815522	1720479815661	OK	 
USER	Pokemon API Test	END	1720479815668
USER	Pokemon API Test	START	1720479815669
REQUEST		Get Pikachu	1720479815531	1720479815672	OK	 
REQUEST		Get Pikachu	1720479815507	1720479815672	OK	 
USER	Pokemon API Test	END	1720479815676
USER	Pokemon API Test	END	1720479815676
USER	Pokemon API Test	START	1720479815676
USER	Pokemon API Test	START	1720479815676
REQUEST		Get Pikachu	1720479815531	1720479815696	OK	 
USER	Pokemon API Test	END	1720479815701
USER	Pokemon API Test	START	1720479815701
REQUEST		Get Pikachu	1720479815587	1720479815726	OK	 
USER	Pokemon API Test	END	1720479815731
REQUEST		Get Pikachu	1720479815643	1720479815732	OK	 
USER	Pokemon API Test	END	1720479815733
USER	Pokemon API Test	START	1720479815733
USER	Pokemon API Test	START	1720479815733
REQUEST		Get Pikachu	1720479815590	1720479815748	OK	 
USER	Pokemon API Test	END	1720479815752
USER	Pokemon API Test	START	1720479815753
REQUEST		Get Pikachu	1720479815631	1720479815791	OK	 
USER	Pokemon API Test	END	1720479815795
USER	Pokemon API Test	START	1720479815796
REQUEST		Get Pikachu	1720479815702	1720479815795	OK	 
USER	Pokemon API Test	END	1720479815797
USER	Pokemon API Test	START	1720479815798
REQUEST		Get Pikachu	1720479815631	1720479815801	OK	 
USER	Pokemon API Test	END	1720479815805
USER	Pokemon API Test	START	1720479815805
REQUEST		Get Pikachu	1720479815669	1720479815798	OK	 
USER	Pokemon API Test	END	1720479815806
USER	Pokemon API Test	START	1720479815806
REQUEST		Get Pikachu	1720479815676	1720479815823	OK	 
USER	Pokemon API Test	END	1720479815831
USER	Pokemon API Test	START	1720479815831
REQUEST		Get Pikachu	1720479815649	1720479815828	OK	 
USER	Pokemon API Test	END	1720479815832
USER	Pokemon API Test	START	1720479815832
REQUEST		Get Pikachu	1720479815676	1720479815849	OK	 
USER	Pokemon API Test	END	1720479815853
USER	Pokemon API Test	START	1720479815853
REQUEST		Get Pikachu	1720479815733	1720479815877	OK	 
USER	Pokemon API Test	END	1720479815880
USER	Pokemon API Test	START	1720479815881
REQUEST		Get Pikachu	1720479815753	1720479815888	OK	 
USER	Pokemon API Test	END	1720479815893
USER	Pokemon API Test	START	1720479815893
REQUEST		Get Pikachu	1720479815734	1720479815896	OK	 
USER	Pokemon API Test	END	1720479815899
USER	Pokemon API Test	START	1720479815899
REQUEST		Get Pikachu	1720479815807	1720479815900	OK	 
USER	Pokemon API Test	END	1720479815901
USER	Pokemon API Test	START	1720479815901
REQUEST		Get Pikachu	1720479815796	1720479815935	OK	 
USER	Pokemon API Test	END	1720479815940
USER	Pokemon API Test	START	1720479815940
REQUEST		Get Pikachu	1720479815853	1720479815948	OK	 
USER	Pokemon API Test	END	1720479815951
USER	Pokemon API Test	START	1720479815951
